60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,58,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,58,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,58,57,58
60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,58,57,58,60,60,60,60,60,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,61,60,59,59,59,61,59,60,60,58,60,61,61,59,58,61,59,60,60,61,60,60,58,58,58,58
60,59,59,59,61,59,60,60,58,60,61,61,59,58,61,59,60,60,61,60,60,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,60,58,59,60,60,59,59,60,60,60,61,61,61,61,60,59,59,59,61,59,60,60,58,60,61,61,59,58,61,60,60,60,61,60,60,58,58,58,58
60,59,59,59,61,59,60,60,58,60,61,61,59,58,61,60,60,60,61,60,60,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,60,58,59,60,60,59,59,60,60,60,61,61,61,61,60,59,59,59,61,59,60,60,58,60,61,61,59,59,61,60,60,60,61,60,60,58,58,58,57
60,59,59,59,61,59,60,60,58,60,61,61,59,59,61,60,60,60,61,60,60,58,58,58,57,60,60,60,60,60,60,60,60,60,60,60,60,59,59,60,60,60,60,60,60,60,61,61,61,61,60,59,59,59,61,59,61,60,59,60,61,61,59,59,61,60,60,60,61,60,60,58,59,58,57
60,59,59,59,61,59,61,60,59,60,61,61,59,59,61,60,60,60,61,60,60,58,59,58,57,59,60,60,60,60,60,61,60,60,60,60,60,59,59,60,60,60,60,60,60,60,61,61,61,61,60,59,59,60,61,59,61,60,59,60,61,61,59,59,60,60,60,60,61,60,60,59,59,58,57
60,59,59,60,61,59,61,60,59,60,61,61,59,59,60,60,60,60,61,60,60,59,59,58,57,59,60,60,60,60,60,61,60,60,60,60,60,59,59,60,60,60,60,60,60,60,61,61,61,61,60,59,59,60,61,59,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,59,58,57
60,59,59,60,61,59,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,59,58,57,59,60,60,60,60,61,61,60,60,61,60,60,59,59,60,60,60,60,60,60,60,61,61,61,61,60,59,59,60,61,59,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,59,58,57
60,59,59,60,61,59,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,59,58,57,59,60,61,60,60,61,61,60,61,61,60,60,59,59,60,60,60,60,60,60,60,61,61,61,61,60,60,59,60,61,60,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,60,58,57
60,60,59,60,61,60,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,60,58,57,59,60,61,61,60,61,61,60,61,61,60,60,59,59,60,60,60,60,60,60,60,61,61,61,61,61,60,59,60,61,60,61,61,59,60,61,61,60,59,60,60,60,61,61,60,61,59,60,58,57
61,60,59,60,61,60,61,61,59,60,61,61,60,59,60,60,60,61,61,60,61,59,60,58,57,59,60,61,61,61,61,61,60,61,61,60,60,59,59,60,60,60,60,61,60,60,61,61,61,61,61,60,59,60,61,60,61,61,60,60,61,61,60,60,60,60,61,61,61,61,61,60,60,58,57
61,60,59,60,61,60,61,61,60,60,61,61,60,60,60,60,61,61,61,61,61,60,60,58,57,59,60,61,61,61,61,61,61,61,61,60,60,60,59,60,60,60,60,61,60,60,61,61,61,61,61,60,59,60,61,60,61,61,60,60,61,61,60,60,60,60,61,61,61,61,61,60,60,58,57
61,60,59,60,61,60,61,61,60,60,61,61,60,60,60,60,61,61,61,61,61,60,60,58,57,59,60,61,61,61,61,61,61,61,61,61,60,60,59,61,60,60,60,61,61,60,61,61,62,61,61,60,59,60,61,60,61,61,60,60,61,62,60,60,60,60,61,61,61,61,61,60,60,58,57
61,60,59,60,61,60,61,61,60,60,61,62,60,60,60,60,61,61,61,61,61,60,60,58,57,59,61,61,61,61,61,62,61,61,62,61,60,60,59,61,61,60,61,61,61,60,61,61,62,61,61,60,59,60,61,60,61,61,60,60,61,61,61,60,60,61,61,61,61,61,61,60,60,58,57
61,60,59,60,61,60,61,61,60,60,61,61,61,60,60,61,61,61,61,61,61,60,60,58,57,59,61,61,61,62,61,62,61,61,62,61,61,60,59,61,61,60,61,61,61,60,61,61,62,61,61,60,59,60,61,60,61,61,60,60,61,61,61,60,60,61,61,61,61,61,61,60,60,58,57
61,60,59,60,61,60,61,61,60,60,61,61,61,60,60,61,61,61,61,61,61,60,60,58,57,59,61,61,61,62,61,62,61,61,62,61,61,60,59,61,61,61,61,61,61,60,61,61,62,61,61,60,59,60,61,60,61,61,60,60,61,62,61,61,60,61,61,61,61,61,61,61,60,58,57
61,60,59,60,61,60,61,61,60,60,61,62,61,61,60,61,61,61,61,61,61,61,60,58,57,58,61,61,61,62,61,62,61,61,62,61,61,60,59,60,61,61,61,61,61,60,61,61,62,61,61,61,59,61,61,60,61,61,60,60,61,62,61,61,60,61,61,61,61,61,61,61,60,58,57
61,61,59,61,61,60,61,61,60,60,61,62,61,61,60,61,61,61,61,61,61,61,60,58,57,58,61,61,62,62,61,62,61,61,62,61,61,60,59,60,61,61,61,61,61,60,61,61,62,62,61,61,59,61,61,61,61,61,61,60,61,61,61,61,60,61,61,62,61,61,61,61,60,58,57
61,61,59,61,61,61,61,61,61,60,61,61,61,61,60,61,61,62,61,61,61,61,60,58,57,58,62,62,62,62,61,62,61,61,62,61,61,61,59,60,61,61,61,61,61,60,61,61,63,62,61,61,59,61,62,61,61,61,61,60,62,61,61,61,61,61,61,63,62,61,61,61,60,58,57
61,61,59,61,62,61,61,61,61,60,62,61,61,61,61,61,61,63,62,61,61,61,60,58,57,59,62,62,62,62,62,62,62,61,62,61,61,61,59,60,61,61,61,61,61,60,62,61,63,62,61,61,59,61,62,61,61,61,61,60,62,62,61,61,61,61,61,63,62,61,61,61,60,59,57
61,61,59,61,62,61,61,61,61,60,62,62,61,61,61,61,61,63,62,61,61,61,60,59,57,59,62,62,62,62,62,62,62,61,63,61,61,61,59,60,61,62,61,61,61,60,62,61,63,62,61,61,59,61,62,61,61,61,61,60,62,62,61,62,61,61,62,63,62,62,61,61,60,59,57
61,61,59,61,62,61,61,61,61,60,62,62,61,62,61,61,62,63,62,62,61,61,60,59,57,59,62,62,62,62,62,63,62,62,63,62,61,61,59,60,61,62,60,61,61,60,62,61,63,62,61,62,59,61,62,61,61,62,62,60,62,62,61,61,61,62,61,63,62,63,61,61,60,59,57
61,62,59,61,62,61,61,62,62,60,62,62,61,61,61,62,61,63,62,63,61,61,60,59,57,59,62,62,62,62,62,63,62,62,63,63,61,61,59,60,60,62,60,61,61,60,62,62,63,63,61,63,59,61,62,61,61,62,62,60,62,62,62,61,61,62,61,63,62,62,61,61,60,59,57
61,63,59,61,62,61,61,62,62,60,62,62,62,61,61,62,61,63,62,62,61,61,60,59,57,59,62,62,61,62,62,63,62,62,63,63,61,61,59,60,60,62,60,61,61,60,62,62,63,63,61,63,59,61,62,61,61,62,62,60,62,62,62,61,60,62,61,63,62,63,61,61,60,59,57
61,63,59,61,62,61,61,62,62,60,62,62,62,61,60,62,61,63,62,63,61,61,60,59,57,59,62,62,61,62,62,62,62,62,62,62,61,61,59,60,60,62,60,61,61,60,62,63,63,63,61,62,59,61,61,61,61,62,62,59,61,62,62,61,60,62,61,62,62,63,62,61,60,59,57
61,62,59,61,61,61,61,62,62,59,61,62,62,61,60,62,61,62,62,63,62,61,60,59,57,59,61,62,61,62,61,62,62,62,62,62,61,61,59,60,60,62,60,61,62,60,62,63,63,62,60,62,59,60,61,61,61,62,62,59,61,62,62,61,60,62,61,62,62,63,61,62,59,59,57
60,62,59,60,61,61,61,62,62,59,61,62,62,61,60,62,61,62,62,63,61,62,59,59,57,59,61,61,61,62,61,62,62,61,62,62,62,61,59,60,60,62,60,61,62,59,61,63,63,63,60,62,59,60,61,62,60,62,62,59,61,61,62,61,60,62,61,62,61,62,61,62,59,59,57
60,62,59,60,61,62,60,62,62,59,61,61,62,61,60,62,61,62,61,62,61,62,59,59,57,59,61,61,62,62,61,62,62,61,62,62,61,61,59,60,60,61,60,61,62,59,61,62,62,63,59,61,59,60,60,62,60,61,61,59,60,61,62,60,59,62,60,61,61,62,61,61,59,58,57
59,61,59,60,60,62,60,61,61,59,60,61,62,60,59,62,60,61,61,62,61,61,59,58,57,58,61,61,61,61,60,61,61,61,61,61,61,60,58,60,60,61,60,60,61,59,60,62,62,62,59,61,59,59,60,61,59,61,61,58,60,61,62,60,59,61,60,61,61,61,60,61,58,58,57
59,61,59,59,60,61,59,61,61,58,60,61,62,60,59,61,60,61,61,61,60,61,58,58,57,58,60,60,61,61,60,61,61,60,61,61,60,60,58,59,60,60,59,60,61,59,60,61,62,62,59,61,59,59,60,61,59,61,61,58,60,61,62,60,59,61,60,61,60,61,60,61,58,58,57
59,61,59,59,60,61,59,61,61,58,60,61,62,60,59,61,60,61,60,61,60,61,58,58,57,58,60,60,61,61,60,61,61,60,61,61,60,60,58,59,60,60,59,60,61,59,60,61,61,62,59,61,59,59,60,61,59,61,61,58,60,61,61,60,58,61,60,61,60,61,60,61,58,57,57
59,61,59,59,60,61,59,61,61,58,60,61,61,60,58,61,60,61,60,61,60,61,58,57,57,58,60,60,60,60,60,60,60,60,60,61,60,60,58,59,59,60,59,59,61,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,61,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,57,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,60,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,60,59,60,61,61,61,59,60,59,59,59,61,59,61,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57
59,60,59,59,59,61,59,61,60,58,59,61,61,59,58,61,59,60,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,61,59,60,61,61,61,59,60,59,59,59,61,59,61,60,58,60,61,61,59,58,61,59,61,60,61,60,60,58,57,57
59,60,59,59,59,61,59,61,60,58,60,61,61,59,58,61,59,61,60,61,60,60,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,61,59,60,61,61,61,59,60,59,59,59,61,59,61,60,58,60,61,61,59,58,61,59,61,60,61,60,61,58,57,57
59,60,59,59,59,61,59,61,60,58,60,61,61,59,58,61,59,61,60,61,60,61,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,61,59,60,61,61,61,59,60,59,59,59,61,59,61,60,58,60,61,61,59,58,61,59,61,60,61,60,61,58,57,57
59,60,59,59,59,61,59,61,60,58,60,61,61,59,58,61,59,61,60,61,60,61,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,61,59,60,61,61,61,59,60,59,59,59,61,59,61,60,58,59,61,61,59,58,61,59,61,60,61,60,61,58,57,57
59,60,59,59,59,61,59,61,60,58,59,61,61,59,58,61,59,61,60,61,60,61,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,61,59,60,61,61,61,59,60,59,59,59,61,59,61,60,58,59,61,61,59,58,61,59,61,60,61,60,61,58,57,57
59,60,59,59,59,61,59,61,60,58,59,61,61,59,58,61,59,61,60,61,60,61,58,57,57,58,60,60,60,60,59,60,60,60,60,60,60,60,58,59,59,60,59,59,61,59,60,61,61,62,59,60,59,59,59,61,59,61,60,58,59,61,61,59,58,61,59,61,60,61,60,61,58,58,57
59,60,59,59,59,61,59,61,60,58,59,61,61,59,58,61,59,61,60,61,60,61,58,58,57,58,60,60,60,60,60,60,60,60,60,60,60,60,58,59,59,60,59,59,61,59,60,61,61,62,59,60,59,59,59,61,59,60,60,58,59,61,62,59,58,61,59,61,60,61,60,60,58,58,57
59,60,59,59,59,61,59,60,60,58,59,61,62,59,58,61,59,61,60,61,60,60,58,58,57,58,60,60,60,60,60,60,60,60,60,60,60,60,58,59,59,60,59,59,61,59,60,61,61,62,59,60,59,59,59,61,59,60,60,58,60,61,62,59,58,61,59,60,60,61,60,60,58,58,58
59,60,59,59,59,61,59,60,60,58,60,61,62,59,58,61,59,60,60,61,60,60,58,58,58,58,60,60,60,60,60,60,60,60,60,60,60,60,58,59,60,60,59,59,61,60,60,61,61,61,59,60,59,59,59,61,59,60,60,58,60,61,62,59,58,61,59,60,60,61,60,60,58,58,58
59,60,59,59,59,61,59,60,60,58,60,61,62,59,58,61,59,60,60,61,60,60,58,58,58,57,60,60,60,60,60,60,60,60,60,60,60,60,58,59,60,60,59,59,61,60,60,61,61,61,59,60,59,59,59,61,59,61,60,58,60,61,62,59,59,61,60,60,60,61,60,60,58,58,58
59,60,59,59,59,61,59,61,60,58,60,61,62,59,59,61,60,60,60,61,60,60,58,58,58,57,59,60,60,60,60,60,60,60,60,60,60,60,58,59,60,60,59,60,60,60,60,61,61,61,59,60,59,59,59,61,59,61,60,59,60,61,61,59,59,61,60,60,60,61,60,60,58,59,58
59,60,59,59,59,61,59,61,60,59,60,61,61,59,59,61,60,60,60,61,60,60,58,59,58,57,59,60,60,60,60,60,61,60,60,61,60,60,59,59,60,60,60,60,60,60,60,61,61,61,59,60,59,59,60,61,59,61,60,59,60,61,62,59,59,61,60,60,60,61,60,60,59,59,58
59,60,59,59,60,61,59,61,60,59,60,61,62,59,59,61,60,60,60,61,60,60,59,59,58,57,59,60,60,60,60,60,61,60,60,61,60,60,59,59,60,60,60,60,60,60,60,61,61,61,59,60,59,59,60,61,59,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,59,58
59,60,59,59,60,61,59,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,59,58,57,59,60,60,60,60,61,61,60,60,61,60,60,59,59,60,60,60,60,60,60,60,61,61,61,59,60,59,59,60,61,59,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,59,58
59,60,59,59,60,61,59,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,59,58,57,59,60,61,60,60,61,61,60,61,61,60,60,59,59,60,60,60,60,60,60,60,61,61,61,59,60,60,59,60,61,59,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,60,58
59,60,60,59,60,61,59,61,60,59,60,61,61,60,59,61,60,60,60,61,60,60,59,60,58,57,59,60,61,61,61,61,61,60,61,61,60,60,59,59,60,60,60,60,60,60,60,61,61,61,59,61,60,59,60,61,60,61,61,59,60,61,61,60,59,61,60,60,61,61,60,61,59,60,57
59,61,60,59,60,61,60,61,61,59,60,61,61,60,59,61,60,60,61,61,60,61,59,60,57,57,59,60,61,61,61,61,61,60,61,61,60,60,59,59,60,60,60,60,61,60,60,61,61,61,60,61,60,59,60,61,60,61,61,60,60,61,61,60,60,61,60,61,61,61,61,61,60,60,58
60,61,60,59,60,61,60,61,61,60,60,61,61,60,60,61,60,61,61,61,61,61,60,60,58,57,59,60,61,61,61,61,61,61,61,61,60,60,60,59,60,60,60,60,61,60,60,61,61,61,60,61,60,59,60,61,60,61,61,60,60,61,61,60,60,60,60,61,61,61,61,61,60,60,58
60,61,60,59,60,61,60,61,61,60,60,61,61,60,60,60,60,61,61,61,61,61,60,60,58,57,59,60,61,61,61,61,61,61,61,61,61,60,60,59,61,60,60,60,61,61,60,61,61,62,60,61,60,59,60,61,60,61,61,60,60,61,62,60,60,60,60,61,61,61,61,61,60,60,58
60,61,60,59,60,61,60,61,61,60,60,61,62,60,60,60,60,61,61,61,61,61,60,60,58,57,59,61,61,61,61,61,62,61,61,62,61,60,60,59,61,60,60,60,61,61,60,61,61,62,60,61,60,59,60,61,60,61,61,60,60,61,61,61,60,60,61,61,61,61,61,61,60,60,58
60,61,60,59,60,61,60,61,61,60,60,61,61,61,60,60,61,61,61,61,61,61,60,60,58,57,58,61,61,61,62,61,62,61,61,62,61,61,60,59,61,60,60,61,61,61,60,61,61,62,61,60,60,59,60,61,60,61,61,60,60,61,61,61,60,60,61,61,61,61,61,61,60,60,58
61,60,60,59,60,61,60,61,61,60,60,61,61,61,60,60,61,61,61,61,61,61,60,60,58,57,58,61,61,61,62,61,62,61,61,62,61,61,60,59,60,60,61,60,61,61,60,61,61,62,61,60,60,59,60,61,60,61,61,60,60,61,62,61,61,60,61,61,61,61,61,61,61,59,58
61,60,60,59,60,61,60,61,61,60,60,61,62,61,61,60,61,61,61,61,61,61,61,59,58,57,58,61,61,61,62,61,62,61,61,62,61,61,60,59,60,61,61,60,61,61,60,61,61,62,61,60,60,59,61,61,60,61,61,60,60,61,61,61,61,60,61,61,62,61,61,61,61,60,58
61,60,60,59,61,61,60,61,61,60,60,61,61,61,61,60,61,61,62,61,61,61,61,60,58,57,58,61,61,62,62,61,62,61,61,62,61,61,60,59,60,61,61,60,61,61,60,61,61,62,61,60,61,59,61,61,61,61,61,61,60,61,61,61,61,60,61,61,62,61,61,61,61,60,58
61,60,61,59,61,61,61,61,61,61,60,61,61,61,61,60,61,61,62,61,61,61,61,60,58,57,58,61,61,62,62,61,62,61,61,62,61,61,61,59,60,61,61,60,61,61,60,61,61,63,61,61,61,59,61,61,61,61,61,61,60,61,61,61,61,60,61,61,62,62,61,61,61,60,58
61,61,61,59,61,61,61,61,61,61,60,61,61,61,61,60,61,61,62,62,61,61,61,60,58,57,58,62,62,62,62,61,62,62,61,62,61,61,61,59,60,60,61,60,61,61,60,61,61,63,61,61,61,59,61,61,61,61,61,61,60,61,62,61,61,60,61,61,62,62,61,61,61,60,58
61,61,61,59,61,61,61,61,61,61,60,61,62,61,61,60,61,61,62,62,61,61,61,60,58,57,58,62,62,62,62,61,62,62,61,62,61,61,61,59,60,60,62,60,61,61,60,62,61,63,61,61,61,59,61,61,61,61,61,61,60,61,62,61,61,60,61,61,62,62,62,61,61,60,58
61,61,61,59,61,61,61,61,61,61,60,61,62,61,61,60,61,61,62,62,62,61,61,60,58,57,58,62,62,62,62,61,62,62,62,62,62,61,61,59,60,60,62,60,61,61,60,62,61,63,61,61,62,59,61,61,61,61,62,62,60,61,62,61,61,60,62,61,63,62,63,61,61,60,59
61,61,62,59,61,61,61,61,62,62,60,61,62,61,61,60,62,61,63,62,63,61,61,60,59,57,58,62,62,62,62,61,62,62,62,62,62,61,61,59,60,60,62,60,61,61,60,62,62,63,61,61,62,59,61,61,61,61,62,62,59,61,62,62,61,60,62,61,62,62,62,61,61,60,59
61,61,62,59,61,61,61,61,62,62,59,61,62,62,61,60,62,61,62,62,62,61,61,60,59,57,58,62,62,61,62,61,62,62,62,62,62,61,61,59,60,60,62,60,61,62,60,62,62,63,61,61,62,59,61,61,61,61,62,62,59,61,62,62,61,60,62,61,62,62,63,61,61,60,59
61,61,62,59,61,61,61,61,62,62,59,61,62,62,61,60,62,61,62,62,63,61,61,60,59,57,58,62,62,61,62,61,62,62,62,62,62,61,61,59,60,60,62,60,61,61,60,62,63,63,61,60,62,59,60,61,61,61,62,62,59,61,62,62,61,60,62,61,62,62,63,62,61,60,59
61,60,62,59,60,61,61,61,62,62,59,61,62,62,61,60,62,61,62,62,63,62,61,60,59,57,59,61,61,61,62,61,62,62,61,62,62,61,61,59,60,60,62,60,61,62,60,61,63,63,60,60,62,59,60,61,61,60,62,62,59,61,62,62,61,60,62,61,62,61,62,61,62,59,58
60,60,62,59,60,61,61,60,62,62,59,61,62,62,61,60,62,61,62,61,62,61,62,59,58,57,59,61,61,61,61,61,62,62,61,62,62,61,61,59,60,60,61,60,60,62,59,61,62,62,60,59,61,59,60,60,62,60,61,61,59,60,61,62,60,59,62,60,61,61,62,61,61,59,58
60,59,61,59,60,60,62,60,61,61,59,60,61,62,60,59,62,60,61,61,62,61,61,59,58,57,58,61,60,61,61,60,61,61,60,61,61,61,60,58,60,60,61,60,60,61,59,60,62,62,59,59,61,59,59,60,61,59,61,61,58,60,61,62,60,59,61,60,61,60,61,60,61,58,57
59,59,61,59,59,60,61,59,61,61,58,60,61,62,60,59,61,60,61,60,61,60,61,58,57,57,58,60,60,60,60,60,61,61,60,61,61,60,60,58,59,59,60,59,59,61,59,60,61,61,59,59,61,59,59,60,61,59,61,61,58,60,61,61,60,59,61,60,61,60,61,60,61,58,57
